Date,CPI,,,,,,,,,,,,,,,,,,,,,,,SP74641,SP74642,SP74643,SP74644,SP74645,SP74646,SP74647,SP74648
12/1/75,0.03045178,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
1/1/76,0.031040183,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
2/1/76,0.031620944,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
3/1/76,0.031930427,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
4/1/76,0.032153945,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
5/1/76,0.032379373,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
6/1/76,0.032509278,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
7/1/76,0.032784378,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
8/1/76,0.033097681,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
9/1/76,0.034226731,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/1/76,0.036154324,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/1/76,0.037787716,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
12/1/76,0.038735272,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
1/1/77,0.039969396,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
2/1/77,0.040851999,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
3/1/77,0.041564577,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
4/1/77,0.0421931,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
5/1/77,0.042563715,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
6/1/77,0.043085254,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
7/1/77,0.043572411,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
8/1/77,0.044466475,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
9/1/77,0.045255474,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/1/77,0.045601256,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/1/77,0.046099867,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
12/1/77,0.046737941,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
1/1/78,0.047777199,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
2/1/78,0.048463034,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
3/1/78,0.048967375,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
4/1/78,0.049511844,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
5/1/78,0.049997083,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
6/1/78,0.050684828,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
7/1/78,0.05154451,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
8/1/78,0.052058409,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
9/1/78,0.052652541,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/1/78,0.053290615,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/1/78,0.053838897,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
12/1/78,0.054295484,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
1/1/79,0.056223077,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
2/1/79,0.057031177,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
3/1/79,0.057804886,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
4/1/79,0.058322606,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
5/1/79,0.059086772,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
6/1/79,0.059742037,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
7/1/79,0.060466075,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
8/1/79,0.061381159,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
9/1/79,0.062133857,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/1/79,0.063218967,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/1/79,0.064032797,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
12/1/79,0.065165661,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
1/1/80,0.068342659,,,,,,,,,,,,,,,,,,,,,,,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
